📊 [1/45] 108.162.198.159（延迟 16ms，带宽 60.88Mbps，评分 100.0）
📊 [2/45] 104.16.145.130（延迟 115ms，带宽 358.56Mbps，评分 90.0）
📊 [3/45] 104.17.11.223（延迟 115ms，带宽 677.56Mbps，评分 90.0）
📊 [4/45] 104.17.2.214（延迟 115ms，带宽 1749.05Mbps，评分 90.0）
📊 [5/45] 104.17.34.72（延迟 115ms，带宽 1879.47Mbps，评分 90.0）
📊 [6/45] 104.17.97.35（延迟 115ms，带宽 1650.65Mbps，评分 90.0）
📊 [7/45] 104.17.167.134（延迟 115ms，带宽 1764.16Mbps，评分 90.0）
📊 [8/45] 104.18.181.81（延迟 115ms，带宽 1861.78Mbps，评分 90.0）
📊 [9/45] 104.18.47.159（延迟 115ms，带宽 1314.32Mbps，评分 90.0）
📊 [10/45] 104.18.206.24（延迟 115ms，带宽 1844.32Mbps，评分 90.0）
📊 [11/45] 104.19.85.34（延迟 116ms，带宽 1864.05Mbps，评分 90.0）
📊 [12/45] 104.19.247.240（延迟 116ms，带宽 1867.47Mbps，评分 90.0）
📊 [13/45] 162.159.39.92（延迟 116ms，带宽 1720.75Mbps，评分 90.0）
📊 [14/45] 162.159.45.78（延迟 116ms，带宽 1922.08Mbps，评分 90.0）
📊 [15/45] 162.159.43.190（延迟 116ms，带宽 518.19Mbps，评分 90.0）
📊 [16/45] 104.19.144.159（延迟 116ms，带宽 525.94Mbps，评分 90.0）
📊 [17/45] 172.64.147.24（延迟 116ms，带宽 1869.72Mbps，评分 90.0）
📊 [18/45] 8.35.211.140（延迟 118ms，带宽 1554.81Mbps，评分 90.0）
📊 [19/45] 104.16.65.1（延迟 118ms，带宽 1735.19Mbps，评分 90.0）
📊 [20/45] 198.41.208.224（延迟 118ms，带宽 1991.96Mbps，评分 90.0）
📊 [21/45] 104.17.145.113（延迟 122ms，带宽 286.05Mbps，评分 90.0）
📊 [22/45] 104.16.88.218（延迟 123ms，带宽 1345.94Mbps，评分 90.0）
📊 [23/45] 104.16.243.97（延迟 123ms，带宽 2339.06Mbps，评分 90.0）
📊 [24/45] 104.17.185.84（延迟 122ms，带宽 1899.97Mbps，评分 90.0）
📊 [25/45] 104.17.60.77（延迟 123ms，带宽 1694.22Mbps，评分 90.0）
📊 [26/45] 104.16.251.46（延迟 123ms，带宽 1831.73Mbps，评分 90.0）
📊 [27/45] 104.17.139.37（延迟 123ms，带宽 514.88Mbps，评分 90.0）
📊 [28/45] 104.17.92.210（延迟 123ms，带宽 1873.37Mbps，评分 90.0）
📊 [29/45] 104.16.232.26（延迟 124ms，带宽 1921.92Mbps，评分 90.0）
📊 [30/45] 104.19.175.47（延迟 115ms，带宽 1802.86Mbps，评分 90.0）
📊 [31/45] 104.18.189.153（延迟 116ms，带宽 61.13Mbps，评分 90.0）
📊 [32/45] 104.18.45.70（延迟 116ms，带宽 357.07Mbps，评分 90.0）
📊 [33/45] 104.18.46.86（延迟 116ms，带宽 691.07Mbps，评分 90.0）
📊 [34/45] 104.17.251.186（延迟 116ms，带宽 1954.48Mbps，评分 90.0）
📊 [35/45] 104.19.46.61（延迟 116ms，带宽 1959.04Mbps，评分 90.0）
📊 [36/45] 104.18.255.167（延迟 116ms，带宽 820.62Mbps，评分 90.0）
📊 [37/45] 104.19.154.200（延迟 116ms，带宽 1943.03Mbps，评分 90.0）
📊 [38/45] 104.31.16.158（延迟 116ms，带宽 1431.91Mbps，评分 90.0）
📊 [39/45] 162.159.38.9（延迟 116ms，带宽 1651.14Mbps，评分 90.0）
📊 [40/45] 162.159.15.167（延迟 116ms，带宽 1946.48Mbps，评分 90.0）
📊 [41/45] 162.159.58.65（延迟 116ms，带宽 1935.99Mbps，评分 90.0）
📊 [42/45] 162.159.137.204（延迟 116ms，带宽 1614.88Mbps，评分 90.0）
📊 [43/45] 162.159.49.11（延迟 117ms，带宽 1113.70Mbps，评分 90.0）
📊 [44/45] 104.18.40.87（延迟 116ms，带宽 5.26Mbps，评分 75.0）
📊 [45/45] 104.16.208.104（延迟 1156ms，带宽 1760.84Mbps，评分 60.0）
